verse_id,verse_text,to_remove
2 Maccabees 11.27 (Douay-Rheims) - 0,Part 1 of 2 Maccabees 11.27: But the king’s letter to the Jews was in this manner:,TRUE
2 Esdras 6.47 (AKJV) - 1,Part 2 of 2 Esdras 6.47: and so it came to passe.,TRUE
2 Chronicles 23.13 (AKJV) - 3,Part 4 of 2 Chronicles 23.13: and such as taught to sing praise.,TRUE
2 Maccabees 11.22 (Douay-Rheims) - 0,Part 1 of 2 Maccabees 11.22: But the king’s letter contained these words:,TRUE
2 Kings 21.4 (Douay-Rheims) - 3,Part 4 of 2 Kings 21.4: And the king said to them:,TRUE
2 Maccabees 14.22 (Douay-Rheims) - 1,Part 2 of 2 Maccabees 14.22: so they made an agreeable conference.,FALSE
2 Kings 17.11 (Douay-Rheims) - 0,Part 1 of 2 Kings 17.11: But this seemeth to me to be good counsel:,FALSE
2 Kings 17.19 (Douay-Rheims) - 1,Part 2 of 2 Kings 17.19: and so the thing was not known.,FALSE
1 Corinthians 11.18 (Geneva) - 1,Part 2 of 1 Corinthians 11.18: and I beleeue it to be true in some part.,FALSE
Hebrews 7.15 (ODRV) - 0,Part 1 of Hebrews 7.15: And yet it is much more euident:,TRUE
4 Kings 16.9 (Douay-Rheims) - 0,Part 1 of 4 Kings 16.9: And he agreed to his desire:,FALSE
2 Chronicles 29.36 (Geneva) - 1,Part 2 of 2 Chronicles 29.36: for the thing was done suddenly.,TRUE
2 Chronicles 29.36 (AKJV) - 1,Part 2 of 2 Chronicles 29.36: for the thing was done suddenly.,TRUE
2 Maccabees 13.26 (Douay-Rheims) - 1,Part 2 of 2 Maccabees 13.26: and thus matters went with regard to the king’s coming and his return.,FALSE
1 Samuel 8.8 (AKJV) - 1,Part 2 of 1 Samuel 8.8: so doe they also vnto thee.,TRUE
2 Chronicles 14.6 (AKJV) - 2,Part 3 of 2 Chronicles 14.6: because the Lord had giuen him rest.,FALSE
2 Kings 6.6 (Geneva) - 1,Part 2 of 2 Kings 6.6: And he shewed him the place.,FALSE
4 Kings 14.4 (Douay-Rheims) - 0,"Part 1 of 4 Kings 14.4: But this only, that he took not away the high places:",FALSE
